av_pred_class,av_training_set,kepid,spline_bkspace,tce_depth,tce_duration,tce_impact,tce_max_mult_ev,tce_model_snr,tce_period,tce_plnt_num,tce_prad,tce_time0bk
PC,PC,4830605,20.0,496.0,0.22833333909511566,0.9613000154495239,15.600000381469727,15.270000457763672,35.63610076904297,1,2.546999931335449,164.177001953125
AFP,AFP,2720828,6.23901891708374,128.39999389648438,0.04345833510160446,0.8784000277519226,8.42199993133545,9.569000244140625,1.7165800333023071,1,1.2999999523162842,131.69900512695312
AFP,AFP,5977984,20.0,361.0,0.05479166656732559,0.7224000096321106,19.93000030517578,24.399999618530273,0.563552975654602,2,6.11899995803833,131.78399658203125
AFP,AFP,9304367,0.5,108.80000305175781,0.18391667306423187,0.699400007724762,13.140000343322754,13.399999618530273,1.6162400245666504,2,3.4839999675750732,132.01699829101562
PC,PC,7906882,1.9462679624557495,14310.0,0.13841666281223297,0.7153000235557556,898.5999755859375,879.5,52.51350021362305,1,12.630000114440918,171.6750030517578
PC,PC,7118364,9.199287414550781,423.29998779296875,0.08562500029802322,0.6650000214576721,35.61000061035156,40.09000015258789,4.347280025482178,1,1.6480000019073486,133.10899353027344
PC,PC,9946525,1.9462679624557495,9746.0,0.20016667246818542,0.692799985408783,199.89999389648438,186.3000030517578,51.846900939941406,1,8.819000244140625,170.08099365234375
PC,PC,5202905,20.0,165.3000030517578,0.2462083399295807,0.4966000020503998,26.43000030517578,26.969999313354492,14.844599723815918,2,2.4509999752044678,143.57899475097656
AFP,AFP,6060580,0.5,7514.0,0.0625,0.10000000149011612,1160.0,-1.0,2.3133599758148193,2,6.5980000495910645,132.04200744628906
PC,PC,9020160,1.319972038269043,304.0,0.1222916692495346,0.2768000066280365,19.479999542236328,19.93000030517578,9.939640045166016,3,1.3530000448226929,131.5850067138672
AFP,AFP,6372320,20.0,24.6200008392334,0.13720832765102386,0.04056999832391739,11.0600004196167,9.222000122070312,0.8358820080757141,1,1.027999997138977,131.77000427246094
AFP,AFP,9346253,3.484652519226074,28690.0,0.4009999930858612,0.5343999862670898,1048.0,1040.0,34.06460189819336,1,15.680000305175781,150.45199584960938
AFP,AFP,2438070,1.087040662765503,751.7000122070312,0.11104166507720947,0.2563000023365021,137.60000610351562,123.80000305175781,2.4429500102996826,1,3.8940000534057617,132.01100158691406
NTP,NTP,6369222,0.5,30.1200008392334,0.14399999380111694,0.5,8.015999794006348,9.48900032043457,1.2258299589157104,1,0.7178999781608582,132.24400329589844
AFP,AFP,8192427,0.5,33.9900016784668,0.47583332657814026,0.6973999738693237,9.857999801635742,7.804999828338623,4.389679908752441,2,1.8250000476837158,135.60000610351562
AFP,PC,3128793,1.087040662765503,7449.0,0.6087499856948853,0.6035000085830688,148.0,136.39999389648438,24.67889976501465,1,4.269999980926514,137.7760009765625
PC,PC,10149023,2.8697266578674316,481.29998779296875,0.15558333694934845,0.010850000195205212,30.950000762939453,31.489999771118164,9.956430435180664,1,2.2920000553131104,134.29800415039062
PC,PC,6422155,1.9462679624557495,625.9000244140625,0.14758333563804626,0.8848000168800354,36.04999923706055,38.38999938964844,6.3889899253845215,2,3.122999906539917,137.14300537109375
PC,PC,12403119,1.9462679624557495,2958.0,0.3398750126361847,0.6796000003814697,288.3999938964844,270.29998779296875,76.13619995117188,1,5.145999908447266,199.47799682617188
PC,PC,7825899,1.602816104888916,342.1000061035156,0.1993750035762787,0.7861999869346619,9.843000411987305,11.199999809265137,28.86709976196289,3,1.718999981880188,156.21400451660156
AFP,AFP,7287391,0.5,174800.0,0.11029166728258133,0.5564000010490417,6577.0,3874.0,4.286089897155762,1,26.139999389648438,134.5919952392578
NTP,NTP,5295670,0.6071401238441467,13.140000343322754,0.5049999952316284,0.1378999948501587,7.107999801635742,7.421000003814697,3.7723100185394287,1,0.660099983215332,133.0590057373047
AFP,AFP,9851943,3.484652519226074,184.0,0.14929166436195374,0.014179999940097332,20.399999618530273,23.219999313354492,1.081969976425171,1,0.9431999921798706,131.51199340820312
AFP,AFP,9776474,20.0,21.469999313354492,0.12545832991600037,0.4977000057697296,11.739999771118164,10.75,0.8553979992866516,3,1.8519999980926514,132.10299682617188
